id_caso,etiqueta_relacionada,tipo_pregunta,prompt,context_scope,analysis_ref
CA-001,QC_REQUIERE_FROTIS,definicion,¿Qué significa que un hemograma requiera una revisión de frotis sanguíneo?,general,
CA-002,QC_REQUIERE_FROTIS,definicion,¿Por qué un analizador automático puede marcar la necesidad de un frotis manual?,general,
CA-003,PATRON_INFLAMATORIO,definicion,¿Qué caracteriza a un patrón inflamatorio en un leucograma canino?,general,
CA-004,PATRON_INFLAMATORIO,explicacion_valor,¿Qué sugiere una neutrofilia con desviación a la izquierda?,general,
CA-005,PATRON_LEUCOGRAMA_ESTRES,definicion,¿Qué es un leucograma de estrés y qué células lo caracterizan?,general,
CA-006,PATRON_LEUCOGRAMA_ESTRES,explicacion_valor,¿Por qué el cortisol produce linfopenia en el leucograma de estrés?,general,
CA-007,PATRON_ANEMIA_NO_REGENERATIVA,definicion,¿Qué es una anemia no regenerativa en perros?,general,
CA-008,PATRON_ANEMIA_NO_REGENERATIVA,explicacion_valor,¿Qué papel tiene el recuento de reticulocitos en clasificar una anemia?,general,
CA-009,PATRON_HEMOLISIS_MCHC,definicion,¿Qué relación hay entre un MCHC elevado y la hemólisis?,general,
CA-010,PATRON_HEMOLISIS_MCHC,explicacion_valor,¿Por qué un MCHC fisiológicamente imposible sugiere un artefacto?,general,
CA-011,PATRON_POLICITEMIA,definicion,¿Qué es la policitemia en un hemograma canino?,general,
CA-012,PATRON_POLICITEMIA,explicacion_valor,¿A partir de qué hematocrito se empieza a considerar policitemia en perros?,general,
CA-013,PATRON_ANEMIA_REGENERATIVA,definicion,¿Qué distingue a una anemia regenerativa?,general,
CA-014,PATRON_ANEMIA_REGENERATIVA,explicacion_valor,¿Qué indica una reticulocitosis en un perro anémico?,general,
CA-015,QC_AGREGADOS_PLAQUETARIOS,definicion,¿Qué son los agregados plaquetarios y por qué son un artefacto preanalítico?,general,
CA-016,QC_AGREGADOS_PLAQUETARIOS,explicacion_valor,¿Cómo pueden los agregados plaquetarios causar una falsa trombocitopenia?,general,
CA-017,general,definicion,¿Qué es la trombocitopenia?,general,
CA-018,general,definicion,¿Qué mide el hematocrito?,general,
CA-019,general,definicion,¿Qué es la hemoglobina y qué función cumple?,general,
CA-020,general,definicion,¿Qué representa el VCM (MCV) en un hemograma?,general,
CA-021,general,definicion,¿Qué es la relación neutrófilos/linfocitos (NLR)?,general,
CA-022,general,explicacion_valor,¿Qué puede significar un valor bajo de plaquetas?,general,
CA-023,general,explicacion_valor,¿Qué puede indicar un hematocrito elevado?,general,
CA-024,general,explicacion_valor,¿Qué sugiere una linfopenia aislada?,general,
CA-025,general,definicion,¿Cuál es la diferencia entre anemia regenerativa y no regenerativa?,general,
CA-026,general,definicion,¿Qué es la leucocitosis?,general,
CA-027,general,definicion,¿Qué es la neutrofilia?,general,
CA-028,PATRON_HEMOLISIS_MCHC,explicacion_valor,¿Qué significa que el hematocrito esté bajo en este hemograma?,uploaded_analysis,seed_A
CA-029,general,explicacion_valor,¿Cómo están las plaquetas en el análisis que cargué?,uploaded_analysis,seed_A
CA-030,PATRON_INFLAMATORIO,explicacion_valor,¿Qué hallazgos generales muestran los leucocitos en este análisis?,uploaded_analysis,seed_A
