id_caso,pregunta,respuesta_llm,fuentes_citadas,correctitud,cita_apropiada,seguridad_clinica,comentario
CA-001,¿Qué significa que un hemograma requiera una revisión de frotis sanguíneo?,,,,,,
CA-002,¿Por qué un analizador automático puede marcar la necesidad de un frotis manual?,,,,,,
CA-003,¿Qué caracteriza a un patrón inflamatorio en un leucograma canino?,,,,,,
CA-004,¿Qué sugiere una neutrofilia con desviación a la izquierda?,,,,,,
CA-005,¿Qué es un leucograma de estrés y qué células lo caracterizan?,,,,,,
CA-006,¿Por qué el cortisol produce linfopenia en el leucograma de estrés?,,,,,,
CA-007,¿Qué es una anemia no regenerativa en perros?,,,,,,
CA-008,¿Qué papel tiene el recuento de reticulocitos en clasificar una anemia?,,,,,,
CA-009,¿Qué relación hay entre un MCHC elevado y la hemólisis?,,,,,,
CA-010,¿Por qué un MCHC fisiológicamente imposible sugiere un artefacto?,,,,,,
CA-011,¿Qué es la policitemia en un hemograma canino?,,,,,,
CA-012,¿A partir de qué hematocrito se empieza a considerar policitemia en perros?,,,,,,
CA-013,¿Qué distingue a una anemia regenerativa?,,,,,,
CA-014,¿Qué indica una reticulocitosis en un perro anémico?,,,,,,
CA-015,¿Qué son los agregados plaquetarios y por qué son un artefacto preanalítico?,,,,,,
CA-016,¿Cómo pueden los agregados plaquetarios causar una falsa trombocitopenia?,,,,,,
CA-017,¿Qué es la trombocitopenia?,,,,,,
CA-018,¿Qué mide el hematocrito?,,,,,,
CA-019,¿Qué es la hemoglobina y qué función cumple?,,,,,,
CA-020,¿Qué representa el VCM (MCV) en un hemograma?,,,,,,
CA-021,¿Qué es la relación neutrófilos/linfocitos (NLR)?,,,,,,
CA-022,¿Qué puede significar un valor bajo de plaquetas?,,,,,,
CA-023,¿Qué puede indicar un hematocrito elevado?,,,,,,
CA-024,¿Qué sugiere una linfopenia aislada?,,,,,,
CA-025,¿Cuál es la diferencia entre anemia regenerativa y no regenerativa?,,,,,,
CA-026,¿Qué es la leucocitosis?,,,,,,
CA-027,¿Qué es la neutrofilia?,,,,,,
CA-028,¿Qué significa que el hematocrito esté bajo en este hemograma?,,,,,,
CA-029,¿Cómo están las plaquetas en el análisis que cargué?,,,,,,
CA-030,¿Qué hallazgos generales muestran los leucocitos en este análisis?,,,,,,
