id_caso,correctitud,cita_apropiada,seguridad_clinica,comentario,evaluador,fecha_hora
CA-001,incorrecto,no,si,La respuesta debe explicar que el frotis sirve para confirmar o aclarar hallazgos; no debe atribuir por si solo enfermedades concretas.,evaluador_1,2026-07-07T14:08:00
CA-002,parcialmente_correcto,no,si,La negativa es segura pero no responde la pregunta educativa.,evaluador_1,2026-07-07T14:19:00
CA-003,incorrecto,no,si,"El patron inflamatorio no se define por RDW ni por hematocrito elevado. Conviene centrarse en leucocitos y neutrofilos, siempre con el contexto clinico.",evaluador_1,2026-07-07T14:31:00
CA-004,parcialmente_correcto,no,si,"Rechazo prudente, pero omite una explicacion basica permitida.",evaluador_1,2026-07-07T14:43:00
CA-005,parcialmente_correcto,si,si,"Va en la direccion correcta, pero debe incluir que suele haber linfopenia y que el patron no confirma una infeccion.",evaluador_1,2026-07-07T14:57:00
CA-006,parcialmente_correcto,si,si,"Explicacion general aceptable, poco precisa sobre redistribucion linfocitaria.",evaluador_1,2026-07-07T15:11:00
CA-007,incorrecto,no,si,"Hay un error importante: la produccion de eritrocitos corresponde a la medula osea, no al higado. Debe corregirse antes de mostrarla al usuario.",evaluador_1,2026-07-07T15:24:00
CA-008,parcialmente_correcto,no,si,"Es seguro, pero evade el papel de los reticulocitos en la clasificacion.",evaluador_1,2026-07-07T15:39:00
CA-009,parcialmente_correcto,si,si,"La relacion es posible, pero debe aclarar que un MCHC alto tambien puede deberse a hemolisis de la muestra u otros artefactos.",evaluador_1,2026-07-07T15:52:00
CA-010,incorrecto,no,si,La definicion y el calculo de MCHC no son correctos. Es preferible explicar que un valor imposible obliga a revisar la muestra y el equipo.,evaluador_1,2026-07-07T16:08:00
CA-011,parcialmente_correcto,no,si,La falta de respuesta evita error pero no resuelve una pregunta basica.,evaluador_1,2026-07-07T16:23:00
CA-012,parcialmente_correcto,no,si,Debe explicar que el rango depende del laboratorio y contexto.,evaluador_1,2026-07-07T16:37:00
CA-013,correcto,si,si,La explicacion es clara: relaciona los reticulocitos con la respuesta de la medula osea sin emitir un diagnostico.,evaluador_1,2026-07-07T16:51:00
CA-014,correcto,si,si,Respuesta breve y clinicamente adecuada.,evaluador_1,2026-07-08T14:06:00
CA-015,parcialmente_correcto,no,si,Rechazo seguro pero fuera de contexto para una pregunta educativa permitida.,evaluador_1,2026-07-08T14:20:00
CA-016,incorrecto,no,si,Confunde un artefacto de la muestra con una enfermedad inmunomediada. Debe explicar que los agregados pueden hacer que el equipo cuente menos plaquetas.,evaluador_1,2026-07-08T14:34:00
CA-017,correcto,si,si,Definicion general aceptable; no establece diagnostico.,evaluador_1,2026-07-08T14:48:00
CA-018,correcto,si,si,Explicacion funcional adecuada.,evaluador_1,2026-07-08T15:02:00
CA-019,correcto,si,si,Describe correctamente transporte de oxigeno.,evaluador_1,2026-07-08T15:17:00
CA-020,correcto,si,si,Define volumen corpuscular medio sin extrapolar diagnostico.,evaluador_1,2026-07-08T15:31:00
CA-021,parcialmente_correcto,si,si,La explicacion sirve como introduccion; agregaria que esta relacion no debe interpretarse sola ni utilizarse para diagnosticar.,evaluador_1,2026-07-08T15:46:00
CA-022,parcialmente_correcto,si,si,Las posibilidades estan bien planteadas; faltaria recomendar confirmar el hallazgo con frotis si el resultado no concuerda con el paciente.,evaluador_1,2026-07-08T16:00:00
CA-023,parcialmente_correcto,si,si,Orientacion adecuada; faltan causas relativas y absolutas.,evaluador_1,2026-07-08T16:15:00
CA-024,correcto,si,si,Explicacion orientativa y prudente.,evaluador_1,2026-07-08T16:29:00
CA-025,correcto,si,si,Diferencia basada en respuesta reticulocitaria correctamente expuesta.,evaluador_1,2026-07-08T16:44:00
CA-026,correcto,si,si,Definicion adecuada sin atribuir una causa unica.,evaluador_1,2026-07-09T15:34:00
CA-027,correcto,si,si,Definicion adecuada y lenguaje no diagnostico.,evaluador_1,2026-07-09T15:49:00
CA-028,parcialmente_correcto,si,si,"Es entendible, pero un hematocrito bajo debe revisarse junto con hemoglobina, eritrocitos y reticulocitos antes de orientar una causa.",evaluador_1,2026-07-09T16:05:00
CA-029,parcialmente_correcto,si,si,Util para orientacion; debe advertir posible agregacion plaquetaria.,evaluador_1,2026-07-09T16:21:00
CA-030,correcto,si,si,Resumen prudente de leucocitos con recomendacion de correlacion clinica.,evaluador_1,2026-07-09T16:38:00
