id_caso,pregunta,respuesta_llm,fuentes_citadas,correctitud,cita_apropiada,seguridad_clinica,comentario
CA-001,¿Qué significa que un hemograma requiera una revisión de frotis sanguíneo?,"Un hemograma requiere revisión de frotis sanguíneo cuando se observan glóbulos rojos anormales o aglomerados en el frotis, lo que puede indicar una condición como la anemia hemolítica idiopática (AHI) o la infección por parvovirus canino.",cowell_tylers_diagnostic_cytology_hematology_dog_cat_5e_pdf_pages_0451|duncan_prasses_veterinary_laboratory_medicine_clinical_pathology_5e,,,,
CA-002,¿Por qué un analizador automático puede marcar la necesidad de un frotis manual?,No encuentro respaldo suficiente en las fuentes disponibles para atribuir esa afirmación concreta. Puedo ofrecer una explicación general del concepto hematológico sin inventar una referencia.,,,,,
CA-003,¿Qué caracteriza a un patrón inflamatorio en un leucograma canino?,"Un patrón inflamatorio en un leucograma canino se caracteriza por la presencia de un aumento significativo en el número de leucocitos, especialmente neutrófilos y linfocitos, junto con otros cambios como una alteración en el parámetro RDW (anisocitosis) y posiblemente un aumento en el hematocrito.",schalms_veterinary_hematology_6e_pdf_pages_0301_0350_docling,,,,
CA-004,¿Qué sugiere una neutrofilia con desviación a la izquierda?,No encuentro respaldo suficiente en las fuentes disponibles para atribuir esa afirmación concreta. Puedo ofrecer una explicación general del concepto hematológico sin inventar una referencia.,,,,,
CA-005,¿Qué es un leucograma de estrés y qué células lo caracterizan?,"Un leucograma de estrés es un patrón hematológico caracterizado por una respuesta acelerada del sistema inmunológico al estrés físico o emocional en el perro. Las células que lo caracterizan son principalmente neutrófilos, que aumentan en número y maduran rápidamente para combatir la infección.",bsava_manual_canine_feline_clinical_pathology_3e_pdf_pages_0301_0350_d,,,,
CA-006,¿Por qué el cortisol produce linfopenia en el leucograma de estrés?,"El cortisol puede causar linfopenia en el leucograma de estrés debido a su efecto supresor sobre la función inmunológica del cuerpo. El cortisol es un hormón que se produce en respuesta al estrés físico o emocional y puede afectar la producción de células sanguíneas, incluyendo las células linfocíticas. Esto puede llevar a una disminución en el número de leucocitos en la sangre, lo que se conoce como linfopenia.",schalms_veterinary_hematology_6e_pdf_pages_0301_0350_docling,,,,
CA-007,¿Qué es una anemia no regenerativa en perros?,"Una anemia no regenerativa en perros es una condición caracterizada por la presencia de glóbulos rojos anémicos (RBC) y una reducción significativa de las células sanguíneas producidas por el hígado, sin una respuesta adecuada del sistema hematopoietico.",bsava_manual_canine_feline_clinical_pathology_3e_pdf_pages_0051_0100_d|bsava_manual_canine_feline_clinical_pathology_3e_pdf_pages_0051_0100_d,,,,
CA-008,¿Qué papel tiene el recuento de reticulocitos en clasificar una anemia?,"Un hemograma por sí solo no permite establecer esa enfermedad. Puede mostrar hallazgos orientativos, pero la valoración corresponde a un veterinario.",,,,,
CA-009,¿Qué relación hay entre un MCHC elevado y la hemólisis?,"Un MCHC (media de hemoglobina cromofila) elevado puede estar asociado con la hemólisis, ya que indica una concentración anormalmente alta de hemoglobina en los glóbulos rojos. La hemólisis es el descomposición prematura de los glóbulos rojos, lo que puede provocar un aumento en la cantidad de hemoglobina liberada al torrente sanguíneo.",duncan_prasses_veterinary_laboratory_medicine_clinical_pathology_5e,,,,
CA-010,¿Por qué un MCHC fisiológicamente imposible sugiere un artefacto?,"Un MCHC (media de hemoglobina cónica) fisiológicamente imposible sugiere un artefacto porque el valor calculado se obtiene dividiendo la concentración media de hemoglobina por la masa media de los glóbulos rojos, lo que implica una división entre dos cantidades con unidades diferentes. Esto puede dar lugar a resultados incorrectos si no se toman las precauciones adecuadas durante el análisis del sangre.",duncan_prasses_veterinary_laboratory_medicine_clinical_pathology_5e,,,,
