prioridad,mitigacion,causa_que_ataca,evidencia_interna,latencia_potencial,fiabilidad,riesgo_clinico,riesgo_calidad,complejidad,cambio_infra,cambio_modelo,recomendacion
1,"Salvage de envoltura por claim (ya escrito en el commit bd70e0d8, no conectado a ningun turno)","H-02 H-03","El propio commit dice que regenerar entero cuesta ~50 s y que 4 frases correctas mueren por la quinta; medido: 41,6 % del computo en reparaciones","ALTA: elimina la 2.a generacion en los casos en que sobreviven claims","ALTA: convierte un fallo total en respuesta parcial","BAJO: cada claim sigue enfrentando los mismos checks; el que falla sigue sin mostrarse","BAJO","BAJA: el codigo existe","no","no","EXPERIMENTAR PRIMERO. Mejor relacion impacto/coste de toda la matriz"
2,"Revisar la exigencia de policy_rule_id en el contrato","H-02","policy_rule_id_missing es el detalle que mas rechazos causa (15) y mata al ultimo recurso 5 de 9 veces en el experimento controlado","ALTA: es el error terminal mas frecuente","ALTA","BAJO: es un identificador de regla, no contenido clinico","BAJO","BAJA","no","no","EXPERIMENTAR. Segundo mejor ratio"
3,"Eliminar o rediseñar el paso de reparacion tal y como esta","H-03","0 de 9 correcciones en el experimento controlado; ~23 s de GPU por intento con tasa de exito cero","ALTA: ~23 s por turno reparado","NEUTRA o positiva: hoy no aporta","BAJO","MEDIO: hay que comprobar que el ultimo recurso siga cubriendo","BAJA","no","no","EXPERIMENTAR. Hoy es coste puro"
4,"Generacion con gramatica/JSON Schema en la primera llamada (constrained decoding)","H-02","Ollama soporta structured outputs por JSON Schema; el proyecto ya usa model_json_schema -> format; el fallo es de forma, no de contenido","ALTA: evitaria la 2.a inferencia en los fallos de formato","ALTA si la gramatica cubre policy_rule_id y fact_ids","BAJO","MEDIO: una gramatica demasiado rigida puede degradar la redaccion","MEDIA","no","no","INVESTIGAR. Ataca la causa 2 en su origen en vez de a posteriori"
5,"Modelo pequeño dedicado a guardarrailes, identidad y clasificacion","H-05","Perfil safety_guardrail usa el mismo 27B; identidad tarda 19-23 s. Socratic Tutor usa gemma-4-E4B exactamente para esto","ALTA en el subconjunto trivial (identidad, seguridad, ambito)","ALTA","MEDIO: la barrera de seguridad pasaria a un modelo menor; exige validacion especifica","MEDIO","MEDIA: exige segundo modelo cargado o llama-swap","SI","SI (adicional)","INVESTIGAR. Requiere VRAM: quedan 5,6 GB"
6,"Corregir el clasificador de ambito (cobertura meta-conversacional)","H-04","intent_classifier.py es regex con confianzas fijas; 3 de 5 preguntas de cortesia rechazadas","NULA (no es latencia)","ALTA: es el primer contacto del usuario","NULO","BAJO","BAJA","no","no","EXPERIMENTAR. No mejora velocidad pero es lo primero que ve un tribunal"
7,"Subir history_limit de 12 mensajes a 20 (10 pares) con presupuesto por tokens","H-13","history_limit=12 son 6 pares, no 10; cada par añade ~500 tokens; 10 pares -> ~8.900 de 12.000 disponibles","NEGATIVA leve: +prefill, mitigado por el checkpoint cache que ya funciona","ALTA para continuidad conversacional","BAJO","BAJO","BAJA","no","no","INVESTIGAR. Cumple el objetivo de producto; el coste cae en el 11,3 % del prefill"
8,"Streaming real de tokens al frontend","H-16","No hay eventos delta/token en la cronologia SSE; t_primer_texto es null en las 70","NULA en computo; ALTA en latencia percibida","NEUTRA","MEDIO: mostrar texto antes de validar puede exponer contenido que el validador habria rechazado","ALTO","ALTA: rompe el contrato validar-antes-de-mostrar","no","no","INVESTIGAR CON CUIDADO. Conflicto directo con la garantia de seguridad"
9,"Modelo menor (9B-14B) como tutor principal","H-01","decode a 13 tok/s es el 87,2 % del tiempo y es limite de ancho de banda de la L4; Socratic Tutor usa 9B","MUY ALTA: 3x menos parametros ~ 3x mas tok/s","INCIERTA","ALTO: exige revalidar seguridad clinica y exactitud numerica","ALTO","MEDIA","no","SI","INVESTIGAR COMO ULTIMA OPCION. El informe del 6-ago ya descarto subir de tamaño; bajar exige revalidacion clinica completa"
10,"GPU con mas ancho de banda (L4 -> L40S/A100)","H-01","13 tok/s es ~33 % de lo que rinde una 4090, proporcional al ancho de banda","MUY ALTA y sin riesgo de calidad","NEUTRA","NULO","NULO","BAJA tecnicamente","SI","no","EVALUAR COSTE. Es la unica via que acelera sin tocar calidad ni contrato"
