id;capitulo;seccion;tipo;severidad;hallazgo;accion;evidencia;estado
A-PRE-01;Preliminares;Tabla de contenido;desactualizado;P1;El TOC no tiene numeros de pagina y no incluira 6.6 ni 6.9;Regenerar el TOC al final de todos los cambios;-;pendiente
A-PRE-02;Preliminares;Lista de Tablas;inconsistencia;P0;La lista anuncia Tabla 6.14 vigilancia poblacional que no existe en el cuerpo y llama 6.15 a la de usabilidad que el cuerpo numera 6.14;Reinsertar 6.6 y renumerar toda la serie 6.x;tesis .md lineas 350-351 vs 2120;pendiente
A-PRE-03;Preliminares;Lista de Figuras;desactualizado;P1;Faltaran las figuras de 6.6 y 6.9;Anadir entradas al cerrar el documento;06_analisis/figuras/MANIFIESTO.json;pendiente
A-PRE-04;Preliminares;Lista de Anexos;falta;P1;No existe el Anexo E de la campana de recaracterizacion;Anadir fila Anexo E;10_referencias_anexos/anexo_E_recaracterizacion;pendiente
A-PRE-05;Preliminares;Agradecimientos y dedicatorias;vacio;P0;Los cuatro encabezados existen con el cuerpo vacio;Redactar una pagina por estudiante;tesis .md lineas 415-425;pendiente
A-PRE-06;Preliminares;Resumen ejecutivo;desactualizado;P0;Describe el modulo conversacional sin cifras y sin mencionar la migracion a GPU;Anadir una frase con p50 21.4 s y reduccion 60.6 por ciento;06_analisis/tablas/tab_E2_diferencias_pareadas.csv;pendiente
A-PRE-07;Preliminares;Abstract;desactualizado;P0;Mismo desfase que el resumen en espanol;Traducir el parrafo actualizado;-;pendiente
A-PRE-08;Preliminares;Numeracion de tablas;inconsistencia;P2;Convive Tabla 1..6 del Cap II con Tabla N.M del resto;Unificar a Tabla 2.1..2.6;tesis .md lineas 305-311;pendiente
A-INT-01;Introduccion;Limitaciones del proyecto;falta;P1;No declara que el runtime conversacional corre sobre una instancia spot reclamable;Anadir limitacion de infraestructura efimera;deploy/gpu/switch-to-a100.sh;pendiente
A-I-01;Cap I;1.2 Glosario C;incorrecto;P0;Define LLM y Ollama sobre Qwen3 4B cuantizado;Sustituir por qwen3.6:27b-q4_K_M sobre A100;06_analisis/tablas/tab_B1_identidad_sistema.csv;pendiente
A-I-02;Cap I;1.2 Glosario;falta;P1;Faltan doce terminos hoy centrales al Cap VI;Anadir TPOT MBU prefill decode GBNF spot entailment fail-closed pre-registro Wilson McNemar Wilcoxon;03_capitulo_i_marco_teorico/README.md;pendiente
A-I-03;Cap I;1.1.3;falta;P1;No hay marco teorico del rendimiento de inferencia que el Cap VI ahora mide;Anadir 1.1.3.7 roofline MBU TPOT y decodificacion restringida;03_capitulo_i_marco_teorico/README.md;pendiente
A-II-01;Cap II;2.1 Definicion del proyecto;incorrecto;P0;Dice que la capa conversacional usa un modelo Qwen3 4B servido mediante Ollama;Actualizar identidad del modelo;06_analisis/fase2_canario_y_ic.json;pendiente
A-II-02;Cap II;2.5.1 Hardware;incorrecto;P0;Subtotal hardware 0.0 USD y laptop sin GPU dedicada; hoy el sistema depende de una A100 spot en GCP;Recalcular el presupuesto con el consumo real de GPU y VM;06_analisis/tablas/tab_A1_ventanas_gpu.csv;pendiente
A-II-03;Cap II;2.5.2 Software;incorrecto;P0;Fila Ollama + Qwen3 4B cuantizado;Sustituir por Ollama 0.32.6 + qwen3.6:27b-q4_K_M;deploy/gpu/compose.env.example;pendiente
A-II-04;Cap II;2.5;incompleto;P2;El texto anuncia cinco categorias de presupuesto y solo presenta hardware y software;Anadir datos recursos humanos y costos operativos o corregir la frase;tesis .md linea 949;pendiente
A-II-05;Cap II;2.6.1 Entorno de ejecucion;incorrecto;P0;Afirma que la VM hemovet-llm-gpu esta apagada y fuera del despliegue y que Ollama corre sobre CPU;Reescribir con la topologia real A100 + IP interna estatica heredada;RESUMEN_PARA_EQUIPO_2026-08-11.md;pendiente
A-II-06;Cap II;2.6.3 Criterios de exito;incorrecto;P0;Exige latencia de respuesta por caso inferior a 10 segundos; el chat mide p50 17.6-21.4 s;Separar criterio de inferencia ML (<40 ms) del criterio de chat y fijarlo en la cifra medida;06_analisis/tablas/tab_E2_diferencias_pareadas.csv;pendiente
A-II-07;Cap II;2.2.2 Pipeline y entregables;incompleto;P1;No incluye la cadena de release ni el contrato de runtime GPU como entregable;Anadir entregable de despliegue verificable;deploy/releases/;pendiente
