case_id,scope,tipo_pregunta,llm_call_index,purpose,generation_attempt,generation_profile,model,temperature,num_ctx,num_predict,estimated_input_tokens,prompt_eval_count,prompt_eval_duration_ms,eval_count,eval_duration_ms,tokens_per_second,load_duration_ms,total_duration_ms,inference_device,gpu_active,queue_duration_ms,validation_result,validation_reason,validation_detail_code,finish_reason,codigo_error_final,latencia_total_turno_s
GEN-01,general,identidad,1,primary_generation,1,faq_simple,qwen3.6:27b-q4_K_M,0.3,16384,1280,3410,1310,2060.133,243,18627.448,13.05,549.509,21882.839,full_gpu,True,0,valid,ok,,stop,,22.061
GEN-02,general,identidad,1,primary_generation,1,faq_simple,qwen3.6:27b-q4_K_M,0.3,16384,1280,3418,1315,2119.815,228,17633.393,12.93,572.85,20738.614,full_gpu,True,0,valid,ok,,stop,,20.93
GEN-03,general,identidad,1,primary_generation,1,faq_simple,qwen3.6:27b-q4_K_M,0.3,16384,1280,3372,1304,260.834,279,21460.132,13.00,540.158,22780.323,full_gpu,True,0,valid,ok,,stop,,22.969
GEN-04,general,identidad,1,primary_generation,1,faq_simple,qwen3.6:27b-q4_K_M,0.3,16384,1280,3417,1312,2062.542,244,18490.935,13.20,553.682,21593.742,full_gpu,True,0,valid,ok,,stop,,21.772
GEN-05,general,conversacion,1,primary_generation,1,faq_simple,qwen3.6:27b-q4_K_M,0.3,16384,1280,3409,1309,2063.961,216,16607.502,13.01,557.226,19636.5,full_gpu,True,0,valid,ok,,stop,,19.816
GEN-06,general,conocimiento,1,primary_generation,1,faq_simple,qwen3.6:27b-q4_K_M,0.3,16384,1280,6036,2986,4454.083,798,59673.153,13.37,559.987,65107.073,full_gpu,True,0,valid,ok,,stop,,65.895
GEN-07,general,conocimiento,1,primary_generation,1,faq_simple,qwen3.6:27b-q4_K_M,0.3,16384,1280,5957,2991,4433.554,650,48699.822,13.35,526.902,54174.242,full_gpu,True,1,invalid,indirect_treatment_recommendation,,stop,,124.021
GEN-07,general,conocimiento,2,repair_generation,2,faq_simple_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,6068,3073,1121.181,573,43293.161,13.24,570.751,45014.728,full_gpu,True,0,invalid,indirect_treatment_recommendation,,stop,,124.021
GEN-07,general,conocimiento,3,repair_generation,3,faq_simple,qwen3.6:27b-q4_K_M,0.3,16384,1280,3499,1389,2174.712,273,20820.913,13.11,561.099,24267.891,full_gpu,True,0,valid,ok,,stop,,124.021
GEN-08,general,conocimiento,1,primary_generation,1,safety_guardrail,qwen3.6:27b-q4_K_M,0.3,16384,320,3607,1429,2235.671,243,18791.445,12.93,548.249,21989.056,full_gpu,True,1,repairable,mandatory_diagnosis_boundary,,stop,,40.658
GEN-08,general,conocimiento,2,repair_generation,2,safety_guardrail_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,3724,1515,1114.104,213,16774.76,12.70,557.572,18465.816,full_gpu,True,0,valid,ok,,stop,,40.658
GEN-09,general,conocimiento,1,primary_generation,1,faq_simple,qwen3.6:27b-q4_K_M,0.3,16384,1280,5990,2973,4437.283,320,24471.453,13.08,562.189,30154.338,full_gpu,True,0,valid,ok,,stop,,30.531
GEN-10,general,conocimiento,1,primary_generation,1,definition,qwen3.6:27b-q4_K_M,0.3,16384,1280,6060,3073,4639.555,440,33187.615,13.26,562.488,38856.288,full_gpu,True,0,valid,ok,,stop,,39.4
